Model,Accuracy,Precision Macro,Recall Macro,F1 Macro,Recall High
Logistic Regression,0.5381,0.5683747670984164,0.5250977082148612,0.5380757680765407,0.46655987184621545
Gradient Boosting,0.5348,0.5641669211488713,0.5229892191965928,0.5356893977847609,0.47336804164998
Random Forest Tuning,0.5316,0.5617440306251876,0.5186638427758545,0.5315147170855709,0.46655987184621545
Random Forest,0.5152,0.5397048426232799,0.5076303111357474,0.5185092708285469,0.47857428914697636
